PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
1642359,2024-25,00,1610612752,NYK,19.0,18,0,111,10,31,0.323,6,19,0.316,4,6,0.667,3,15,18,5,3,2,4,7,30
1642359,2025-26,00,1610612752,NYK,20.0,29,0,136,16,48,0.333,7,32,0.219,9,11,0.818,4,23,27,12,3,1,3,8,48
1630631,2021-22,00,1610612740,NOP,24.0,54,1,834,131,294,0.446,32,110,0.291,36,53,0.679,25,75,100,152,71,7,40,73,330
1630631,2022-23,00,1610612740,NOP,25.0,61,10,1310,201,489,0.411,83,247,0.336,65,80,0.813,28,113,141,186,67,10,81,125,550
1630631,2023-24,00,1610612740,NOP,26.0,56,0,1028,142,345,0.412,78,207,0.377,35,52,0.673,25,103,128,117,59,15,40,89,397
1630631,2024-25,00,1610612740,NOP,27.0,56,23,1366,204,521,0.392,111,309,0.359,60,74,0.811,27,109,136,259,74,14,86,91,579
1630631,2025-26,00,1610612740,NOP,28.0,41,0,896,117,280,0.418,70,193,0.363,20,24,0.833,16,98,114,128,37,4,47,80,324
1630631,2025-26,00,1610612752,NYK,28.0,28,3,474,70,169,0.414,31,94,0.33,15,22,0.682,10,47,57,106,29,4,30,49,186
1630631,2025-26,00,0,TOT,28.0,69,3,1370,187,449,0.416,101,287,0.352,35,46,0.761,26,145,171,234,66,8,77,129,510
1628384,2017-18,00,1610612761,TOR,20.0,74,62,1481,163,346,0.471,73,197,0.371,39,62,0.629,44,140,184,55,52,14,45,130,438
1628384,2018-19,00,1610612761,TOR,21.0,67,6,1352,183,404,0.453,67,202,0.332,36,62,0.581,58,139,197,47,46,22,55,140,469
1628384,2019-20,00,1610612761,TOR,22.0,69,68,2066,286,566,0.505,89,228,0.39,72,102,0.706,80,284,364,108,96,45,79,167,733
1628384,2020-21,00,1610612761,TOR,23.0,43,43,1433,249,519,0.48,104,261,0.398,80,102,0.784,54,183,237,94,66,32,75,114,682
1628384,2021-22,00,1610612761,TOR,24.0,48,48,1728,309,697,0.443,115,317,0.363,89,118,0.754,74,190,264,125,71,25,80,131,822
1628384,2022-23,00,1610612761,TOR,25.0,67,67,2386,421,885,0.476,142,367,0.387,140,167,0.838,95,237,332,131,128,50,132,200,1124
1628384,2023-24,00,1610612761,TOR,26.0,27,27,900,157,321,0.489,61,163,0.374,33,46,0.717,24,82,106,72,28,13,43,62,408
1628384,2023-24,00,1610612752,NYK,26.0,23,23,802,125,256,0.488,41,104,0.394,34,43,0.791,23,79,102,35,40,23,38,57,325
1628384,2023-24,00,0,TOT,26.0,50,50,1702,282,577,0.489,102,267,0.382,67,89,0.753,47,161,208,107,68,36,81,119,733
1628384,2024-25,00,1610612752,NYK,27.0,74,74,2706,489,1027,0.476,171,460,0.372,183,226,0.81,97,261,358,164,110,65,102,172,1332
1628384,2025-26,00,1610612752,NYK,28.0,67,67,2224,389,804,0.484,157,407,0.386,183,221,0.828,85,266,351,145,104,48,123,164,1118
1641755,2024-25,00,1610612752,NYK,24.0,4,0,29,2,7,0.286,0,1,0.0,2,2,1.0,0,8,8,2,1,1,0,6,6
1641755,2025-26,00,1610612752,NYK,25.0,21,0,155,20,47,0.426,8,24,0.333,2,5,0.4,11,17,28,20,9,0,12,22,50
1628973,2018-19,00,1610612742,DAL,22.0,73,38,1591,264,565,0.467,63,181,0.348,87,120,0.725,25,144,169,230,37,4,88,127,678
1628973,2019-20,00,1610612742,DAL,23.0,57,16,1022,181,388,0.466,43,120,0.358,61,75,0.813,22,112,134,188,22,4,66,74,466
1628973,2020-21,00,1610612742,DAL,24.0,68,12,1697,328,627,0.523,81,200,0.405,120,151,0.795,27,204,231,239,35,1,80,109,857
1628973,2021-22,00,1610612742,DAL,25.0,79,61,2524,506,1008,0.502,94,252,0.373,179,213,0.84,43,266,309,377,66,3,124,151,1285
1628973,2022-23,00,1610612752,NYK,26.0,68,68,2379,587,1195,0.491,134,322,0.416,325,392,0.829,40,201,241,421,61,15,142,152,1633
1628973,2023-24,00,1610612752,NYK,27.0,77,77,2726,790,1648,0.479,211,526,0.401,421,497,0.847,43,235,278,519,70,13,186,144,2212
1628973,2024-25,00,1610612752,NYK,28.0,65,65,2301,585,1200,0.487,152,397,0.383,368,448,0.821,27,160,187,475,60,8,164,138,1690
1628973,2025-26,00,1610612752,NYK,29.0,74,74,2590,689,1475,0.467,195,528,0.369,354,421,0.841,31,216,247,503,57,8,175,170,1927
1642278,2024-25,00,1610612752,NYK,24.0,41,0,296,27,82,0.329,14,47,0.298,13,17,0.765,8,19,27,70,12,4,18,26,81
1642278,2025-26,00,1610612752,NYK,25.0,62,1,727,108,248,0.435,44,114,0.386,14,20,0.7,16,82,98,170,22,4,55,65,274
1631110,2022-23,00,1610612759,SAS,20.0,56,53,1458,250,552,0.453,33,134,0.246,81,116,0.698,95,200,295,142,43,23,97,138,614
1631110,2023-24,00,1610612759,SAS,21.0,74,73,2193,340,776,0.438,70,227,0.308,111,144,0.771,137,339,476,249,62,40,140,168,861
1631110,2024-25,00,1610612759,SAS,22.0,54,23,1364,251,469,0.535,28,91,0.308,87,125,0.696,127,225,352,128,45,27,84,131,617
1631110,2025-26,00,1610612759,SAS,23.0,28,0,358,47,99,0.475,9,35,0.257,11,16,0.688,26,47,73,28,10,5,18,50,114
1631110,2025-26,00,1610612752,NYK,23.0,16,0,111,17,30,0.567,2,10,0.2,8,10,0.8,11,23,34,12,7,2,3,12,44
1631110,2025-26,00,0,TOT,23.0,44,0,469,64,129,0.496,11,45,0.244,19,26,0.731,37,70,107,40,17,7,21,62,158
1629011,2018-19,00,1610612752,NYK,21.0,66,19,1360,202,291,0.694,0,0,0.0,81,135,0.6,177,246,423,37,52,161,35,217,485
1629011,2019-20,00,1610612752,NYK,22.0,61,7,1412,253,341,0.742,0,0,0.0,84,148,0.568,186,242,428,36,52,119,37,194,590
1629011,2020-21,00,1610612752,NYK,23.0,31,29,853,115,176,0.653,0,0,0.0,26,53,0.491,113,139,252,17,35,45,26,86,256
